recipient_name,year_reported,candidate_or_measure,corrected_name,committee_id,candidate_office_sought,support_or_oppose
A Lot of People Who Support Stephen Whitburn,2007,Stephen Whitburn,A Lot of People Who Support Stephen Whitburn,1298544,San Diego City Council District 3,Support
April Boling for City Council,2007,April Boling ,April Boling for City Council,1298534,San Diego City Council District 7,Support
Brian Maienschein for City Council,2007,Brian Maienschein ,Brian Maienschein for City Council,1235908,San Diego City Council District 5,Support
Carl DeMaio for City Council 2012,2007,Carl DeMaio,Carl DeMaio for City Council 2012,1297980,San Diego City Council District 5,Support
Committee to Elect Marshall Merrifield,2007,Marshall Merrifield,Committee to Elect Marshall Merrifield,1298864,San Diego City Council District 1,Support
Committee to Re-Elect Ben Hueso,2007,Ben Hueso,Committee to Re-Elect Ben Hueso,1285407,San Diego City Council District 8,Support
Donna Frye for Mayor,2007,Donna Frye,Donna Frye for Mayor,1270953,San Diego Mayor,Support
Donna Frye for Mayor - 2005,2007,Donna Frye,Donna Frye for Mayor - 2005,1276908,San Diego Mayor,Support
Friends of Bob Ilko,2007,Bob Ilko,Friends of Bob Ilko,1299411,San Diego City Council District 5,Support
Friends of Jim Madaffer,2007,Jim Madaffer,Friends of Jim Madaffer,1235921,San Diego City Council District 7,Support
Friends of Kevin Faulconer,2007,Kevin Faulconer,Friends of Kevin Faulconer,1282704,San Diego City Council District 2,Support
Friends of Kevin Faulconer Debt Retirement,2007,Kevin Faulconer,Friends of Kevin Faulconer Debt Retirement,1278616,,
Friends of Mayor Dick Murphy,2007,Dick Murphy,Friends of Mayor Dick Murphy,990466,,Support
Friends of Mayor Dick Murphy (LDF-7),2007,Dick Murphy,Friends of Mayor Dick Murphy (LDF-7),990466,,Support
Frye Legal Defense Fund #4,2007,Donna Frye,Frye Legal Defense Fund #4,1270953,,
Gentry for City Attorney,2007,William Gentry ,Gentry for City Attorney,1301578,San Diego City Attorney,Support
Jerry Sanders for Mayor,2007,Jerry Sanders,Jerry Sanders for Mayor,1276918,San Diego Mayor,Support
Jim Morrison for City Council,2007,Jim Morrison,Jim Morrison for City Council,1234153,San Diego City Council District 2,Support
John Hartley for City Council,2007,John Hartley ,John Hartley for City Council,1298855,San Diego City Council District 3,Support
Lee Burdick for City Attorney,2007,Lee Burdick ,Lee Burdick for City Attorney,1302820,San Diego City Attorney,Support
Lincoln Club of San Diego County,2007,,Lincoln Club of SD County,831561/C00177766,,
Luis Acle for City Council,2007,Luis Acle ,Luis Acle for City Council,1278931,,Support
Marti Emerald for San Diego,2007,Marti Emerald ,Marti Emerald for San Diego,1301052,San Diego City Council District 7,Support
Mike Aguirre for City Attorney,2007,Mike Aguirre,Mike Aguirre for City Attorney,1254870,San Diego City Attorney,Support
Mitz Lee for City Council,2007,Mitz Lee ,Mitz Lee for City Council,1298853,San Diego City Council District 5,Support
No Committee City Attorney Jan Goldsmith,2007,Jan Goldsmith,No Committee City Attorney Jan Goldsmith,,,
No Committee Dist 1 - Sherri Lightner,2007,Sherri Lightner,No Committee Dist 1 - Sherri Lightner,,,
Our City Our Responsiblity Sponsored by Neighborhood Market Association,2007,,Our City Our Responsiblity Sponsored by Neighborhood Market Association,1302689,,
Phil Thalheimer for City Council,2007,Phil Thalheimer ,Phil Thalheimer for City Council,1255438,San Diego City Council District 1,Support
Re-elect City Attorney Mike Aguirre,2007,Mike Aguirre,Re-elect City Attorney Mike Aguirre,1298515,San Diego City Attorney,Support
Re-Elect Donna Frye for City Council 2006,2007,Donna Frye,Re-Elect Donna Frye for City Council 2006,1283366,San Diego City Council District 6,Support
Re-elect Mayor Sanders,2007,Jerry Sanders,Re-elect Mayor Sanders,1297978,San Diego Mayor,Support
Reform San Diego,2007,,Reform San Diego,1268914,,
Remy Bermudez for City Council '06,2007,Remy Bermudez ,Remy Bermudez for City Council '06,1285330,San Diego City Council District 8,Support
Republican Party of San Diego Co.,2007,,Republican Party of San Diego County,741949,,
Robert E. Lee for District 3,2007,Robert E. Lee,Robert E. Lee for District 3,,San Diego City Council District 3,
San Diegans for City Hall Reform,2007,,San Diegans for City Hall Reform,1283641,,
San Diegans for Ron Roberts,2007,Ron Roberts,San Diegans for Ron Roberts,1260553,San Diego Mayor,Support
"San Diego City Fire Fighters, Local 145 PAC",2007,,"San Diego City Fire Fighters, Local 145 PAC",76-1453,,
"San Diego Consumers for Choice, sponsored by Wal-Mart Stores, Inc.",2007,,"San Diego Consumers for Choice, sponsored by Wal-Mart Stores, Inc.",1299425,,
SAN DIEGO COUNTY HOTEL-MOTEL ASSOCIATION ISSUE ADVOCACY PAC,2007,,SAN DIEGO COUNTY HOTEL-MOTEL ASSOCIATION ISSUE ADVOCACY PAC,99-1330,,
Steve Francis for Mayor,2007,Steve Francis ,Steve Francis for Mayor,1301984,San Diego Mayor,Support
Todd Gloria for City Council,2007,Todd Gloria,Todd Gloria for City Council,1297982,San Diego City Council District 3,Support
Tony Young for City Council 2006,2007,Tony Young ,Tony Young for City Council 2006,1283388,San Diego City Council District 4,Support
A Lot of People Who Support Stephen Whitburn,2008,Stephen Whitburn,A Lot of People Who Support Stephen Whitburn,1298544,San Diego City Council District 3,Support
City Employees Retirement Benefits - Contracting Out City Services,2008,A: Amends the City Charter to exempt from the managed competition process the core public safety services provided by participants in the City's safety retirement system,A: Amends the City Charter to exempt from the managed competition process the core public safety services provided by participants in the City's safety retirement system,,,
April Boling for City Council,2008,April Boling ,April Boling for City Council,1298534,San Diego City Council District 7,Support
Brian Maienschein for City Attorney,2008,Brian Maienschein ,Brian Maienschein for City Attorney,1303774,San Diego City Attorney,Support
Brian Maienschein for City Council,2008,Brian Maienschein ,Brian Maienschein for City Council,1235908,San Diego City Council District 5,Support
CA Women's Leadership Assoc. (CWLA) PAC,2008,,California Women's Leadership Association PAC,1237224,,
Carl DeMaio for City Council 2012,2008,Carl DeMaio,Carl DeMaio for City Council 2012,1297980,San Diego City Council District 5,Support
Committee to Elect Marshall Merrifield,2008,Marshall Merrifield,Committee to Elect Marshall Merrifield,1298864,San Diego City Council District 1,Support
Donna Frye for Mayor - 2005,2008,Donna Frye,Donna Frye for Mayor - 2005,1276908,San Diego Mayor,Support
Duncan D. Hunter,2008,Duncan D. Hunter,Duncan D. Hunter ,,U.S. Representative District 52,
Friends of Bob Ilko,2008,Bob Ilko,Friends of Bob Ilko,1299411,San Diego City Council District 5,Support
Friends of David Tos,2008,David Tos,Friends of David Tos,1303810,San Diego City Council District 7,Support
Friends of Jim Madaffer,2008,Jim Madaffer,Friends of Jim Madaffer,1235921,San Diego City Council District 7,Support
Friends of Kevin Faulconer,2008,Kevin Faulconer,Friends of Kevin Faulconer,1282704,San Diego City Council District 2,Support
Friends of Mayor Dick Murphy,2008,Dick Murphy,Friends of Mayor Dick Murphy,990466,,Support
Friends of Mayor Dick Murphy (LDF-7),2008,Dick Murphy,Friends of Mayor Dick Murphy (LDF-7),990466,,Support
Gentry for City Attorney,2008,William Gentry ,Gentry for City Attorney,1301578,San Diego City Attorney,Support
George George,2008,George George,George George ,,San Diego City Council District 5,
George George for City Council,2008,George George,George George for City Council,1304341,San Diego City Council District 5,Support
